estrategia,corrida,segundos
particionado,1,0.747
particionado,2,0.821
particionado,3,0.911
particionado,4,0.717
particionado,5,0.792
particionado,6,0.718
particionado,7,0.797
particionado,8,0.727
particionado,9,0.72
particionado,10,0.842
particionado,11,0.651
particionado,12,0.703
particionado,13,0.732
particionado,14,0.699
particionado,15,0.7
particionado,16,0.708
particionado,17,0.679
particionado,18,0.684
particionado,19,0.649
particionado,20,0.675
particionado,21,0.802
particionado,22,0.696
particionado,23,0.741
particionado,24,0.707
particionado,25,0.697
particionado,26,1.02
particionado,27,0.748
particionado,28,0.891
particionado,29,0.78
particionado,30,0.647
particionado,31,0.662
particionado,32,0.744
particionado,33,0.64
particionado,34,0.64
particionado,35,0.669
particionado,36,0.728
particionado,37,0.613
particionado,38,0.651
particionado,39,0.713
particionado,40,0.652
particionado,41,0.704
particionado,42,0.65
particionado,43,0.683
particionado,44,0.675
particionado,45,0.716
particionado,46,0.669
particionado,47,0.681
particionado,48,0.679
particionado,49,0.66
particionado,50,0.615
particionado,51,0.772
particionado,52,0.648
particionado,53,0.735
particionado,54,0.645
particionado,55,0.709
particionado,56,0.694
particionado,57,0.672
particionado,58,0.725
particionado,59,0.884
particionado,60,0.687
particionado,61,0.716
particionado,62,0.719
particionado,63,0.631
particionado,64,0.715
particionado,65,0.631
particionado,66,0.728
particionado,67,0.72
particionado,68,0.619
particionado,69,0.711
particionado,70,0.712
particionado,71,0.714
particionado,72,0.695
particionado,73,0.642
particionado,74,0.798
particionado,75,0.631
particionado,76,0.7
particionado,77,0.805
particionado,78,0.611
particionado,79,0.64
particionado,80,0.641
particionado,81,0.671
particionado,82,0.658
particionado,83,0.728
particionado,84,0.721
particionado,85,0.82
particionado,86,0.861
particionado,87,0.759
particionado,88,0.912
particionado,89,0.716
particionado,90,0.636
particionado,91,0.663
particionado,92,0.816
particionado,93,0.728
particionado,94,0.708
particionado,95,0.654
particionado,96,0.865
particionado,97,0.735
particionado,98,0.687
particionado,99,0.674
particionado,100,0.685
zorder,1,0.677
zorder,2,0.711
zorder,3,0.743
zorder,4,0.689
zorder,5,0.711
zorder,6,0.66
zorder,7,0.667
zorder,8,0.622
zorder,9,0.597
zorder,10,0.624
zorder,11,0.661
zorder,12,0.63
zorder,13,0.583
zorder,14,0.83
zorder,15,0.608
zorder,16,0.678
zorder,17,0.661
zorder,18,0.61
zorder,19,0.622
zorder,20,0.662
zorder,21,0.68
zorder,22,0.774
zorder,23,0.872
zorder,24,0.67
zorder,25,0.608
zorder,26,0.709
zorder,27,0.684
zorder,28,0.791
zorder,29,0.637
zorder,30,0.679
zorder,31,0.664
zorder,32,0.623
zorder,33,0.679
zorder,34,0.719
zorder,35,0.662
zorder,36,0.605
zorder,37,0.566
zorder,38,0.6
zorder,39,0.635
zorder,40,0.567
zorder,41,0.625
zorder,42,0.878
zorder,43,0.606
zorder,44,0.65
zorder,45,0.719
zorder,46,0.596
zorder,47,0.618
zorder,48,0.62
zorder,49,0.59
zorder,50,0.585
zorder,51,0.733
zorder,52,0.644
zorder,53,0.7
zorder,54,0.652
zorder,55,0.556
zorder,56,0.624
zorder,57,0.611
zorder,58,0.619
zorder,59,0.608
zorder,60,0.581
zorder,61,0.708
zorder,62,0.63
zorder,63,0.786
zorder,64,0.655
zorder,65,0.609
zorder,66,0.701
zorder,67,0.635
zorder,68,0.616
zorder,69,0.641
zorder,70,0.63
zorder,71,0.631
zorder,72,0.614
zorder,73,0.633
zorder,74,0.677
zorder,75,0.763
zorder,76,0.591
zorder,77,0.616
zorder,78,0.575
zorder,79,0.601
zorder,80,0.652
zorder,81,0.572
zorder,82,0.604
zorder,83,0.745
zorder,84,0.648
zorder,85,0.721
zorder,86,0.818
zorder,87,0.719
zorder,88,0.658
zorder,89,0.608
zorder,90,0.687
zorder,91,0.628
zorder,92,0.668
zorder,93,0.612
zorder,94,0.691
zorder,95,0.796
zorder,96,0.612
zorder,97,0.603
zorder,98,0.646
zorder,99,0.648
zorder,100,0.835
liquid,1,0.714
liquid,2,0.701
liquid,3,0.643
liquid,4,0.646
liquid,5,0.687
liquid,6,0.779
liquid,7,0.632
liquid,8,0.623
liquid,9,0.755
liquid,10,0.657
liquid,11,0.645
liquid,12,0.687
liquid,13,0.654
liquid,14,0.664
liquid,15,0.679
liquid,16,0.652
liquid,17,0.717
liquid,18,0.673
liquid,19,0.62
liquid,20,0.613
liquid,21,0.662
liquid,22,0.698
liquid,23,0.704
liquid,24,0.644
liquid,25,0.614
liquid,26,0.809
liquid,27,0.683
liquid,28,0.794
liquid,29,0.594
liquid,30,0.638
liquid,31,0.643
liquid,32,0.747
liquid,33,0.651
liquid,34,0.691
liquid,35,0.68
liquid,36,0.641
liquid,37,0.605
liquid,38,0.589
liquid,39,0.604
liquid,40,0.591
liquid,41,0.612
liquid,42,0.599
liquid,43,0.614
liquid,44,0.717
liquid,45,0.666
liquid,46,0.61
liquid,47,0.768
liquid,48,0.615
liquid,49,0.59
liquid,50,0.629
liquid,51,0.595
liquid,52,0.666
liquid,53,0.698
liquid,54,0.585
liquid,55,0.736
liquid,56,0.627
liquid,57,0.677
liquid,58,0.745
liquid,59,0.619
liquid,60,0.764
liquid,61,0.697
liquid,62,0.646
liquid,63,0.706
liquid,64,0.69
liquid,65,0.617
